Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing
4100 SW Edmunds St SW,"['Bicycle Storage', 'Walkscore Of 95', 'Fire Pit Lounge', '24-hour Package Lockers With Amazon Hub', 'Brand New Outdoor Grilling And Barbecue', 'On-site Dog Park', 'Pet Wash Station!', 'Package Service', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Pet Care', 'Pet Play Area', 'Pet Washing Station', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Fitness Center', 'Bicycle Storage', 'Gameroom', 'Gated', 'Courtyard', 'Grill', 'High Speed Internet Access', 'Washer/Dryer', 'Heating', 'Ceiling Fans', 'Cable Ready', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Eat-in Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Dining Room', 'Views', 'Walk-In Closets', 'Loft Layout', 'Patio', 'Deck']",Junction,https://www.apartments.com/junction-seattle-wa/,84egbw0,Elan 41,https://www.apartments.com/elan-41-seattle-wa/84egbw0/,No reviews,Verified Listing
1011 E Terrace St,"['Entry closet', '9-Ft Ceilings', 'Washer/Dryer in Unit', 'BBQ Grill', 'Courtyard view', 'Large Windows', 'Range', 'Roof Terrace', 'Bike Storage', 'Controlled Access', 'Courtyard', 'Private Patio and Private Balcony', 'Resident Coffee Bar', 'Upgraded light fixtures', 'View', 'Cable Ready', 'Corner unit', 'Large Closets', 'Mountain view', 'Walk-in closets master bath', 'Covered Parking', 'Granite Countertops', 'Juliet Balconies', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Elevator', 'Clubhouse', 'Storage Space', 'Fitness Center', 'Bicycle Storage', 'Courtyard', 'Grill', 'Washer/Dryer', 'Cable Ready', 'Storage Space', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Kitchen', 'Microwave', 'Range', 'Refrigerator', 'Walk-In Closets', 'Window Coverings']",Minor,https://www.apartments.com/minor-seattle-wa/,7xrt90z,Vantage Park,https://www.apartments.com/vantage-park-seattle-wa/7xrt90z/,4.9,Verified Listing
209 12th Ave S,"['Plank-Style Flooring', 'Quartz Countertops', 'The Yard', 'Large Closets', 'Stainless Steel Appliances', 'Community Room & Co-Working Lounge', 'Full Size Washer & Dryer', 'Patio/Balcony', 'Makers Studio', 'Sky Lounge & Deck', 'Designer Tile Backsplash', 'Dog Run and Spa', 'Remote Workspaces', 'Screening Room', 'Yesler Lounge', 'Baths Include Backlit Vanity Mirror', 'Outdoor Courtyards and BBQ Grills', 'Vista Lounge & Deck', 'Co-Working Lobbies', 'Karaoke Corner', 'The Commons', 'The Garden', 'Vault Bar', 'Property Manager on Site', 'On-Site Retail', 'Pet Play Area', 'Pet Washing Station', 'Key Fob Entry', 'Lounge', 'Conference Rooms', 'Fitness Center', 'Spa', 'Media Center/Movie Theatre', 'Roof Terrace', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Granite Countertops', 'Stainless Steel Appliances', 'Quartz Countertops', 'Hardwood Floors', 'Balcony', 'Patio', 'Deck', 'Yard']",First Hill,https://www.apartments.com/first-hill-seattle-wa/,hwhflg0,Mason & Main,https://www.apartments.com/mason-main-seattle-wa/hwhflg0/,4.9,Verified Listing
112 Boren Ave N,"['Private Dining Room', 'Peloton Bikes And Mirror', 'Designer Furnished Suites Available', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Concierge', '24 Hour Access', 'Furnished Units Available', 'On-Site Retail', 'Online Services', 'Planned Social Activities', 'Guest Apartment', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Business Center', 'Clubhouse', 'Lounge', 'Multi Use Room', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Hot Tub', 'Sauna', 'Spa', 'Pool', 'Playground', 'Bicycle Storage', 'Basketball Court', 'Media Center/Movie Theatre', 'Gated', 'Roof Terrace', 'Sundeck', 'Cabana', 'Courtyard', 'Grill', 'Picnic Area', 'Dog Park', 'High Speed Internet Access', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Dining Room', 'Walk-In Closets', 'Furnished', 'Window Coverings', 'Floor to Ceiling Windows', 'Balcony']",South Lake Union,https://www.apartments.com/south-lake-union-seattle-wa/,m93gvph,Onni South Lake Union,https://www.apartments.com/onni-south-lake-union-seattle-wa/m93gvph/,4.9,Verified Listing
2428 NW Market St,"['Elegant quartz countertops in kitchens & bathrooms', 'Fully equipped kitchens with stainless steel appliances', 'Grill', 'On Site Maintenance', 'Abundant natural light', 'Designer lighting package', 'Individual Climate Control', 'Inflatable Kayak', 'Inflatable Paddle Board', 'Nine-foot ceilings', 'Recycling center on every level', 'Traditional Kayak', 'Breatheasy® smoke-free community -- inside and out', 'Electric car charging stations', 'On Site Management', 'Spacious lobby with seating area and elaborate fireplace', 'Under-mount kitchen sinks', 'Pantries*', 'Traditional Paddle Board', 'Two interior design finish packages', 'WHEEL HOUSE bike room and indoor storage facilities', 'Ballard Cityscape and an ideal Urban location', 'LEED Silver Certified community', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Video Patrol', 'On-Site Retail', 'Recycling', 'Dry Cleaning Service', 'Online Services', 'Composting', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Business Center', 'Clubhouse', 'Multi Use Room', 'Storage Space', 'Disposal Chutes', 'Conference Rooms', 'Fitness Center', 'Bicycle Storage', 'Gated', 'Fenced Lot', 'Roof Terrace', 'Sundeck', 'Courtyard', 'Grill', 'Picnic Area', 'Wi-Fi', 'Washer/Dryer', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Storage Space', 'Double Vanities', 'Tub/Shower', 'Fireplace', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Den', 'Vaulted Ceiling', 'Views', 'Walk-In Closets', 'Linen Closet', 'Double Pane Windows', 'Window Coverings', 'Balcony', 'Grill']",Ballard,https://www.apartments.com/ballard-seattle-wa/,twk16f9,AMLI Mark24,https://www.apartments.com/amli-mark24-seattle-wa/twk16f9/,5.0,Verified Listing
101 6th Ave S,"['On-Site Management', 'Brand New Appliances', 'Controlled Access Building', 'Roof Deck With City And Water Views', '24-Hour Emergency Maintenance', 'City Views in Select Homes', 'Energy Efficient', 'Laundry In Unit', 'Roof Deck Or Sun Deck', 'Affordable', 'Controlled Access Rentable Parking', 'Water Sewer And Trash Included In Rent', 'Convenient State Of The Art Laundry Rooms', 'Modern Finishes', 'Resident Lounge And Full Kitchen With Wifi Located', 'Wood Inspired Flooring', '3-Star Built Green', 'Bike Storage', 'Controlled Access Bike Storage', 'Handicap Accessible', 'Large Windows', 'Package Acceptance', 'Community Wifi', 'Hard Surface Counters', 'Income Restricted', 'Smart Layouts', 'Water View in Select Homes', 'Package Service', 'Wi-Fi', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Recycling', 'Composting', 'Elevator', 'Lounge', 'Bicycle Storage', 'Sundeck', 'Wi-Fi', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Air Conditioning', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Sprinkler System', 'Dishwasher', 'Kitchen', 'Refrigerator', 'Freezer', 'Quartz Countertops', 'Hardwood Floors', 'High Ceilings', 'Deck']",Pioneer Square,https://www.apartments.com/pioneer-square-seattle-wa/,8mhszb0,HANA Apartments,https://www.apartments.com/hana-apartments-seattle-wa/8mhszb0/,4.6,Verified Listing
400 Queen Anne Ave N,"['24-hour fitness center', 'Electric car charging stations', 'Courtyard with outdoor seating', 'Extra storage available', 'Full-capacity front loading washer and dryer', 'Air conditioning in every home', 'Electronic wall safe', 'Bike storage available with repair station', 'Contemporary cabinetry', 'Free WiFi available in all common areas', 'Private deck in most homes', 'Work-at-home fireside lounge', 'Hardwood-style plank flooring', 'EV Charging', 'Lounge', 'Fitness Center', 'Bicycle Storage', 'Courtyard', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Deck']",Lower Queen Anne,https://www.apartments.com/lower-queen-anne-seattle-wa/,3v4ms5d,Artix,https://www.apartments.com/artix-seattle-wa/3v4ms5d/,No reviews,Verified Listing
103 12th Ave,"['24-Hour Controlled Access Package Room', 'Onsite, Rooftop Bark Park', 'Open-Concept Studio, 1 & 2 Bedroom Floor Plans', 'Outdoor Lounge w/ Gas Grills & Fire Pit', 'Built-In Open Shelving in Kitchen', 'Full-Size, Stacked Washer & Dryer', 'Gourmet Breakfast Bar', 'LEED Gold Certification', 'Snowflake Quartz Countertops', 'Tile Backsplash', 'WiFi Throughout Social Spaces', 'Bicycle Storage & Repair Station', 'Hardwood-Style Plank Flooring', 'Multi-Level, Controlled Access Parking Garage', 'Oversized Windows', 'Pet-Friendly Community', 'Views of the City & Neighborhood', 'Polished Concrete Flooring', 'Upgraded Lighting & Fixtures', '9-Foot Ceilings', 'Controlled Access Building', 'Entertaining Clubhouse w/ Kitchen', 'Espresso Cabinetry w/ Brushed Nickel Hardware', 'Fully Equipped 24-Hour Fitness Center', 'Stainless-Steel Appliances', 'Package Service', 'Community-Wide WiFi', 'Controlled Access', 'Pet Play Area', 'Elevator', 'Clubhouse', 'Lounge', 'Breakfast/Coffee Concierge', 'Fitness Center', 'Bicycle Storage', 'Grill', 'Wi-Fi', 'Washer/Dryer', 'Stainless Steel Appliances', 'Kitchen', 'Hardwood Floors', 'Views']",Minor,https://www.apartments.com/minor-seattle-wa/,cm38mee,Anthem on 12th,https://www.apartments.com/anthem-on-12th-seattle-wa/cm38mee/,4.1,Verified Listing
1001 Minor Ave,"['Gathering and Networking Spaces', 'Indoor and Outdoor Entertaining Areas', 'Motorized Shades', 'Party Lounge', 'Stainless Steel Appliances', 'WiFi in Common Areas', 'Fitness Center', 'On-Site Management', 'Balconies in Select Apartments', 'Central Heat and Air Conditioning', 'Complimentary Coffee Station', 'Pet Friendly', 'Secure Building Access', 'Tile Backsplash', 'Entertainment Lounge', 'Grilling Station', 'Keyless Apartment Entry', 'Refrigerator, Dishwasher, and Microwave', 'Short Term Lease', 'Smoke-Free Community', 'Washer and Dryer', 'Additional Storage', 'Community Events', 'Package Lockers', 'Rooftop or Observatory Deck', 'Walk-In or Bathtub Showers', 'Community App Powered by Cobu', 'Fire Pit, Fireplace, or Both', 'LEED Silver Certified', 'Quartz Countertops', 'Secure Garage Parking with EV Charging Stations', 'Tall Ceiling Heights', 'Work Lounge', 'Coworking Spaces', 'Customizable Closet System', 'Demonstration Kitchen', 'Designer-Furnished Apartments Available', 'Elevator', 'USB Outlets', 'Vinyl Plank Wood Flooring', 'Elevator', 'Fitness Center', 'Stainless Steel Appliances', 'Quartz Countertops']",First Hill,https://www.apartments.com/first-hill-seattle-wa/,rwd8ec0,Sentral First Hill,https://www.apartments.com/sentral-first-hill-seattle-wa/rwd8ec0/,5.0,Verified Listing
1146 Harrison St,"['Quartz countertops with subway tile backsplash', 'Theater', 'Walk-in closets and built-ins *', 'App Dishwasher', 'Appliances Stainless', 'ADA Handicap Equipped', 'App Refrigerator', 'Fetch Package Service', 'Floating bathroom vanities *', 'On-site retail', 'Roller shades', 'Ceiling 10ft', 'Co-working space with private offices', 'On-site coffee shop', 'Storage', '24-hr emergency maintenance', 'Ac Port', 'EV car charging stations', 'Kitchen', 'LEED Silver Certified', 'Pet relief area with wash-down system', '24-hr package lockers', 'Balcony', 'Bike storage', 'On-site parking', 'Pendant lighting *', 'Tile bath surrounds with oversized soaking tubs', 'TV Lounge', 'App W/D', 'BBQ Grill', 'Club House', 'Gas Range', 'Loft/townhouse homes available', 'Media Room', 'Online rent payment & maintenance requests', 'Closet Walk-in', 'Complimentary WiFi in common areas', 'Private patios and courtyard access *', 'Rentable storage rooms', 'Resident lounge with bar and game area', 'Square Footage 09', 'Wood style flooring', 'Package Service', 'Wi-Fi', 'Property Manager on Site', 'On-Site Retail', 'Recycling', 'Pet Care', 'Pet Play Area', 'EV Charging', 'Business Center', 'Clubhouse', 'Lounge', 'Storage Space', 'Fitness Center', 'Bicycle Storage', 'Media Center/Movie Theatre', 'Roof Terrace', 'Courtyard', 'Grill', 'Wi-Fi', 'Tub/Shower', 'Dishwasher', 'Stainless Steel Appliances', 'Kitchen', 'Range', 'Refrigerator', 'Walk-In Closets', 'Balcony', 'Patio', 'Deck']",South Lake Union,https://www.apartments.com/south-lake-union-seattle-wa/,7n52vsx,Marlowe,https://www.apartments.com/marlowe-seattle-wa/7n52vsx/,4.8,Verified Listing
